curve_uid,panel_uid,publication_batch,source_collection,case_id,case_rel_path,paper_title,figure_id,panel_id,curve_label,condition_label,catalyst_role,material_class,contains_pgm,pgm_class,electrolyte_regime,regime_class,electrolyte_identity,support_material,substrate_material,ir_compensation_status,scan_rate_text,measurement_configuration,x_axis_units,x_axis_label,y_axis_units,y_axis_label,x_axis_type,y_axis_type,axis_orientation,reference_basis,current_density_basis,linear_axes,potential_unit_mode,current_unit_mode,native_point_count,fit_point_count,j_min_mA,j_max_mA,y_min_mV,y_max_mV,signed_potential_min_mV,signed_potential_max_mV,crosses_zero_potential,eta_rule,raw_branch_candidate_point_count,raw_branch_current_positive_count,raw_branch_current_negative_count,selected_current_sign,selected_current_sign_rule,selected_current_sign_raw_point_count,model_direction,model_direction_rule,reference_axis_ready,fit_range_ok,canonical_fit_eligible,fit_error,tss_mV2,bv_fit_ok,bv_fit_error,bv_j0_mA,bv_log_j0,bv_alpha,bv_b_tafel_mV_dec,bv_r_mV_per_mA,bv_e_offset_mV,bv_sse_mV2,bv_rmse_mV,bv_r2,bv_nfev,bv_at_alpha_low,bv_at_alpha_high,bv_at_r_upper_bound,bv_at_e_upper_bound,bv_at_e_lower_bound,bvir_fit_ok,bvir_fit_error,bvir_j0_mA,bvir_log_j0,bvir_alpha,bvir_b_tafel_mV_dec,bvir_r_mV_per_mA,bvir_e_offset_mV,bvir_sse_mV2,bvir_rmse_mV,bvir_r2,bvir_nfev,bvir_at_alpha_low,bvir_at_alpha_high,bvir_at_r_upper_bound,bvir_at_e_upper_bound,bvir_at_e_lower_bound,bv_offset_fit_ok,bv_offset_fit_error,bv_offset_j0_mA,bv_offset_log_j0,bv_offset_alpha,bv_offset_b_tafel_mV_dec,bv_offset_r_mV_per_mA,bv_offset_e_offset_mV,bv_offset_sse_mV2,bv_offset_rmse_mV,bv_offset_r2,bv_offset_nfev,bv_offset_at_alpha_low,bv_offset_at_alpha_high,bv_offset_at_r_upper_bound,bv_offset_at_e_upper_bound,bv_offset_at_e_lower_bound,bvir_offset_fit_ok,bvir_offset_fit_error,bvir_offset_j0_mA,bvir_offset_log_j0,bvir_offset_alpha,bvir_offset_b_tafel_mV_dec,bvir_offset_r_mV_per_mA,bvir_offset_e_offset_mV,bvir_offset_sse_mV2,bvir_offset_rmse_mV,bvir_offset_r2,bvir_offset_nfev,bvir_offset_at_alpha_low,bvir_offset_at_alpha_high,bvir_offset_at_r_upper_bound,bvir_offset_at_e_upper_bound,bvir_offset_at_e_lower_bound,BV,BV+iR+offset,pm_group,strict_bv_tafel_mV_dec,strict_bv_log10_intercept_mV,R_eff,E_offset,j_max,D_R_mV
batch0/case10/figure_4__panel_b/curve_1,batch0/case10/figure_4__panel_b,batch0,LSV-63-2026-4-5,case10,batch0/case10,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,b,Ir/C,Ir/C,benchmark,metal,True,PGM,alkaline,alkaline,1 M KOH,carbon,,unclear,,three_electrode_half_cell,V,Potential vs. RHE,mA cm^-2,Current density,linear,linear,potential_x_current_y,rhe,True,True,V,mA,49,49,0.607787274453939,99.92402659069326,8.896797153024911,151.2455516014235,-151.2455516014235,-8.896797153024911,False,minus_E_RHE_negative_branch,49,0,49,-1.0,single_current_sign,49,1.0,minus_E_RHE_negative_branch,True,True,True,,86188.82176714527,True,,2.7557153205131835,1.0136770533724813,0.3318276974773845,89.15773181038219,0.0,0.0,1435.6069011136171,5.412771935221997,0.9833434676135592,11.0,False,False,False,False,False,True,,1.375287465335256,0.318662774965715,0.5635685601171125,52.49583981902285,0.5270408276308889,0.0,28.681820587148746,0.7650773015119126,0.9996672211082704,8.0,False,False,False,False,False,True,,5.139911359852548,1.6370358341535003,0.2993947125263373,98.81605660067471,0.0,14.66134950269424,731.2545382081596,3.863102639621183,0.9915156684681944,13.0,False,False,False,False,False,True,,1.908402669779118,0.6462665936208559,0.5265717305553491,56.18418753270983,0.4902031423924443,4.376005321422092,8.115073022976027,0.4069566747981608,0.9999058454117764,12.0,False,False,False,False,False,False,True,PM,56.18418753270983,-11.393211461314039,0.4902031423924443,4.376005321422092,99.92402659069326,48.983071835264
batch0/case10/figure_4__panel_b/curve_2,batch0/case10/figure_4__panel_b,batch0,LSV-63-2026-4-5,case10,batch0/case10,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,b,Pt/C,Pt/C,benchmark,metal,True,PGM,alkaline,alkaline,1 M KOH,carbon,,unclear,,three_electrode_half_cell,V,Potential vs. RHE,mA cm^-2,Current density,linear,linear,potential_x_current_y,rhe,True,True,V,mA,30,30,4.197530864197529,99.52516619183284,11.269276393831555,97.27164887307238,-97.27164887307238,-11.269276393831555,False,minus_E_RHE_negative_branch,30,0,30,-1.0,single_current_sign,30,1.0,minus_E_RHE_negative_branch,True,True,True,,19766.262951189696,True,,5.488331252325093,1.7026242479907123,0.4130866779435897,71.61936329252757,0.0,0.0,235.78928913655815,2.803505479077686,0.9880711245358412,9.0,False,False,False,False,False,True,,3.513022850930926,1.2564768779397126,0.6954655812868323,42.53985481812576,0.3343522843181148,0.0,16.56936437424421,0.7431770622187825,0.999161735103132,9.0,False,False,False,False,False,True,,9.560099504296971,2.257598135408408,0.3657622282846516,80.88589408942735,0.0,9.669236534926313,136.51389173852283,2.133181440466507,0.9930935912329192,12.0,False,False,False,False,False,True,,1.8185979236673495e-06,-13.217444725375612,0.8954802509943434,33.03814330477309,0.4018639607581107,-199.99999996679037,4.274015393931919,0.377448247840324,0.9997837722080049,57.0,False,False,False,False,True,False,True,PM,33.03814330477309,-10.352358153882193,0.4018639607581107,-199.99999996679037,99.52516619183284,39.995577480959156
batch0/case10/figure_4__panel_b/curve_3,batch0/case10/figure_4__panel_b,batch0,LSV-63-2026-4-5,case10,batch0/case10,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,b,A1-Ir2Ce/C,A1-Ir2Ce/C,other,alloy,True,PGM,alkaline,alkaline,1 M KOH,carbon,,unclear,,three_electrode_half_cell,V,Potential vs. RHE,mA cm^-2,Current density,linear,linear,potential_x_current_y,rhe,True,True,V,mA,38,35,0.607787274453939,99.92402659069326,2.3724792408066437,103.202846975089,-103.202846975089,6.524317912218269,True,minus_E_RHE_negative_branch,38,2,36,-1.0,single_current_sign,35,1.0,minus_E_RHE_negative_branch,True,True,True,,31397.35650088864,True,,4.231929643598263,1.4426580695591702,0.4236247345223018,69.8377654749236,0.0,0.0,336.6047315142927,3.1011736557738114,0.989279201530716,10.0,False,False,False,False,False,True,,2.5088616069409277,0.9198291072105108,0.705823889723349,41.915561784882726,0.3507309694951345,0.0,7.913380942360813,0.4754961601876151,0.9997479602799638,10.0,False,False,False,False,False,True,,6.150747593440197,1.8165736343395944,0.3926315117206153,75.35056146995424,0.0,6.073511936192845,231.50304868667328,2.5718423006901565,0.9926266706982124,12.0,False,False,False,False,False,True,,1.9715328668067869,0.6788113451612253,0.7496722994872802,39.46391627272239,0.3719280687451298,-2.122343166001482,4.397973909417345,0.3544804612555171,0.999859925344056,12.0,False,False,False,False,False,False,True,PM,39.46391627272239,-13.756464385636221,0.3719280687451298,-2.122343166001482,99.92402659069326,37.16455023111354
batch0/case10/figure_4__panel_b/curve_4,batch0/case10/figure_4__panel_b,batch0,LSV-63-2026-4-5,case10,batch0/case10,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,b,C15-Ir2Ce/C,C15-Ir2Ce/C,candidate,alloy,True,PGM,alkaline,alkaline,1 M KOH,carbon,,unclear,,three_electrode_half_cell,V,Potential vs. RHE,mA cm^-2,Current density,linear,linear,potential_x_current_y,rhe,True,True,V,mA,30,25,2.2032288698955345,99.72459639126306,1.7793594306049825,58.718861209964416,-58.718861209964416,10.083036773428232,True,minus_E_RHE_negative_branch,30,0,30,-1.0,single_current_sign,25,1.0,minus_E_RHE_negative_branch,True,True,True,,7317.255072476006,True,,8.039516805458856,2.084368982561343,0.600136148431456,49.29715521431269,0.0,0.0,88.61959687625927,1.8827596434623224,0.9878889561729776,10.0,False,False,False,False,False,True,,5.996253442234605,1.7911348478985296,0.99,29.88384329186393,0.1943252165769468,0.0,27.482208485019264,1.0484695223995644,0.9962441915427556,12.0,False,True,False,False,False,True,,10.85509226325655,2.3846343029032124,0.5499856504113264,53.79232137569241,0.0,2.6959096885638774,77.82272545910702,1.7643437925654628,0.9893644919183098,13.0,False,False,False,False,False,True,,4.993237724158714,1.608084541872907,0.99,29.88384329186393,0.1841485180081184,-1.4576731401072358,25.588733472000605,1.0117061524375663,0.9965029600282416,17.0,False,True,False,False,False,False,True,PM,29.88384329186393,-22.328018646822898,0.1841485180081184,-1.4576731401072358,99.72459639126306,18.364136634408847
batch0/case10/figure_4__panel_c/curve_1,batch0/case10/figure_4__panel_c,batch0,LSV-63-2026-4-5,case10,batch0/case10,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,c,Ir/C,Ir/C,benchmark,metal,True,PGM,buffered,buffered,N2-saturated aqueous 1 M phosphate buffer saline (PBS),carbon,,unclear,,three_electrode_half_cell,V,Potential vs. RHE,mA cm^-2,Current density,linear,linear,potential_x_current_y,rhe,True,True,V,mA,41,41,0.2785943052691575,59.24406616066336,1.016552150630256,459.2859234206501,-459.2859234206501,-1.016552150630256,False,minus_E_RHE_negative_branch,41,0,41,-1.0,single_current_sign,41,1.0,minus_E_RHE_negative_branch,True,True,True,,845536.5063421753,True,,8.051313451718835,2.085835239825252,0.0555456276909776,532.625268428658,0.0,0.0,10828.018705277433,16.25109280023619,0.9871939075083584,14.0,False,False,False,False,False,True,,7.630411621584462,2.032141791624259,0.0928911957066238,318.49094668113594,3.4913635477927785,0.0,4829.7813108421615,10.853549841728372,0.994287909185925,26.0,False,False,False,False,False,True,,9.425287683557134,2.243396256322581,0.0536076131550139,551.8806586929373,0.0,26.03021728365618,4753.083419021077,10.767026696287274,0.9943786183288724,16.0,False,False,False,False,False,True,,8.976488102896834,2.194608725966852,0.0727573501123006,406.625651061796,2.24137226132245,16.995778489577095,3012.336482148597,8.571558873146673,0.9964373667375048,17.0,False,False,False,False,False,False,True,PM,406.625651061796,-370.56175618628794,2.24137226132245,16.995778489577095,59.24406616066336,132.78800654046287
batch0/case10/figure_4__panel_c/curve_2,batch0/case10/figure_4__panel_c,batch0,LSV-63-2026-4-5,case10,batch0/case10,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,c,Pt/C,Pt/C,benchmark,metal,True,PGM,buffered,buffered,N2-saturated aqueous 1 M phosphate buffer saline (PBS),carbon,,unclear,,three_electrode_half_cell,V,Potential vs. RHE,mA cm^-2,Current density,linear,linear,potential_x_current_y,rhe,True,True,V,mA,30,30,4.209625762295437,59.4897556267275,21.12868756686937,230.86952833622016,-230.86952833622016,-21.12868756686937,False,minus_E_RHE_negative_branch,30,0,30,-1.0,single_current_sign,30,1.0,minus_E_RHE_negative_branch,True,True,True,,129519.43121246084,True,,12.8839888584606,2.555985366710786,0.096838739141175,305.50795189325214,0.0,0.0,7129.670788638778,15.416085526313932,0.944952886822492,19.0,False,False,False,False,False,True,,45.04826049897154,3.807734370633421,0.0610131925460358,484.8952107631924,2.8698014110779466,0.0,205.59144276273545,2.617832708958153,0.998412659468636,40.0,False,False,False,False,False,True,,21.951773373125285,3.088847927744069,0.0697878378510492,423.92780418401344,0.0,32.62388241522392,1858.5870061263288,7.871016465756564,0.9856501299555775,20.0,False,False,False,False,False,True,,36.51463479513828,3.597713133519614,0.0794195791677014,372.5152559228994,2.382453572727358,8.097423120835307,17.546897854025747,0.7647853261760398,0.999864523047316,27.0,False,False,False,False,False,False,True,PM,372.5152559228994,-573.9453568606735,2.382453572727358,8.097423120835307,59.4897556267275,141.73158083357438
batch0/case10/figure_4__panel_c/curve_3,batch0/case10/figure_4__panel_c,batch0,LSV-63-2026-4-5,case10,batch0/case10,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,c,A1-Ir2Ce/C,A1-Ir2Ce/C,other,alloy,True,PGM,buffered,buffered,N2-saturated aqueous 1 M phosphate buffer saline (PBS),carbon,,unclear,,three_electrode_half_cell,V,Potential vs. RHE,mA cm^-2,Current density,linear,linear,potential_x_current_y,rhe,True,True,V,mA,36,36,2.48979949984644,59.36691089369543,18.25552536454949,329.99362431625576,-329.99362431625576,-18.25552536454949,False,minus_E_RHE_negative_branch,36,0,36,-1.0,single_current_sign,36,1.0,minus_E_RHE_negative_branch,True,True,True,,338852.1404536253,True,,8.344711879674243,2.1216280304152115,0.0844726097472334,350.23192662653867,0.0,0.0,15140.728150713165,20.507944362228372,0.9553175962517336,20.0,False,False,False,False,False,True,,4.647131725675455,1.536250196091332,0.99,29.88384329186393,5.011659523380457,0.0,235.2143406957431,2.556116524337821,0.9993058496240252,9.0,False,True,False,False,False,True,,13.791247746348766,2.6240341696806926,0.068669372657462,430.8326072312007,0.0,39.47646646591692,5315.042125140671,12.15072257241047,0.9843145682419908,22.0,False,False,False,False,False,True,,22.721778476054016,3.123323868784724,0.99,29.88384329186393,5.2016604598067815,8.099090685391447,159.06736918022338,2.1020318819618278,0.999530569973773,32.0,False,True,False,False,False,False,True,PM,29.88384329186393,-32.43661908207478,5.2016604598067815,8.099090685391447,59.36691089369543,308.806513016608
batch0/case10/figure_4__panel_c/curve_4,batch0/case10/figure_4__panel_c,batch0,LSV-63-2026-4-5,case10,batch0/case10,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,c,C15-Ir2Ce/C,C15-Ir2Ce/C,candidate,alloy,True,PGM,buffered,buffered,N2-saturated aqueous 1 M phosphate buffer saline (PBS),carbon,,unclear,,three_electrode_half_cell,V,Potential vs. RHE,mA cm^-2,Current density,linear,linear,potential_x_current_y,rhe,True,True,V,mA,29,26,1.50704163558987,59.24406616066336,3.8897143529501297,111.6332969399454,-111.6332969399454,9.0395155574893,True,minus_E_RHE_negative_branch,29,0,29,-1.0,single_current_sign,26,1.0,minus_E_RHE_negative_branch,True,True,True,,27164.31023751276,True,,9.930407501040742,2.295601514580705,0.2315161674939158,127.78807276914158,0.0,0.0,1138.9915968612158,6.618713554010837,0.9580702919786156,17.0,False,False,False,False,False,True,,8.619270299348527,2.15400042904468,0.99,29.88384329186393,1.3086817303706118,0.0,296.3000071642242,3.3758190297616566,0.9890923051395928,11.0,False,True,False,False,False,True,,17.3997263378578,2.85645447838748,0.1737756717373916,170.24825490908702,0.0,13.12325870294835,496.2157738482479,4.368663648197977,0.9817328042011906,25.0,False,False,False,False,False,True,,69.23638355165417,4.237526498320808,0.01,2958.500485894528,1.305504960738405,8.835102221052272,120.98935126457988,2.1571825576661854,0.9955460179107548,16.0,True,False,False,False,False,False,True,PM,2958.500485894528,-5435.795040837666,1.305504960738405,8.835102221052272,59.24406616066336,77.34342226706029
batch0/case11/figure_9__panel_a/curve_3,batch0/case11/figure_9__panel_a,batch0,LSV-63-2026-4-5,case11,batch0/case11,3D-Porous Electrocatalyst with Tip-Enhanced Electric Field Effect Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_9,a,Pt/TiAl-nanocube,Pt/TiAl-nanocube,other,composite,True,PGM,acidic,acidic,0.1 M HClO4,TiAl,TiAl,unclear,,three_electrode_half_cell,V vs. RHE,Potential,mA cm^-2_Pt,J,linear,linear,potential_x_current_y,rhe,True,True,V,mA,45,45,0.2563884879870941,21.225910518719758,2.982554867754617,300.11254924029265,-300.11254924029265,-2.982554867754617,False,minus_E_RHE_negative_branch,45,0,45,-1.0,single_current_sign,45,1.0,minus_E_RHE_negative_branch,True,True,True,,345991.4387840122,True,,3.1225671741604404,1.13865547572789,0.0911055314252035,324.73335478246105,0.0,0.0,11779.39848656107,16.179135045250973,0.96595465330599,18.0,False,False,False,False,False,True,,1.8083026133981048,0.5923886226315012,0.99,29.88384329186393,12.38950424363961,0.0,84.6218420083696,1.3713079077886807,0.9997554221506006,14.0,False,True,False,False,False,True,,4.486321108972503,1.5010330137798094,0.0803797709342794,368.0653044300755,0.0,29.112062167282318,6831.6246274709165,12.321277555938137,0.980254931591716,20.0,False,False,False,False,False,True,,1.818014630662972,0.5977450433923063,0.99,29.88384329186393,12.390866520102756,0.0407089566628532,84.61940992879283,1.3712882015648469,0.9997554291799065,11.0,False,True,False,False,False,False,True,PM,29.88384329186393,-7.717058284849586,12.390866520102756,0.0407089566628532,21.225910518719758,263.0074240051016
batch0/case11/figure_9__panel_a/curve_4,batch0/case11/figure_9__panel_a,batch0,LSV-63-2026-4-5,case11,batch0/case11,3D-Porous Electrocatalyst with Tip-Enhanced Electric Field Effect Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_9,a,Pt/TiAl-nanocone,Pt/TiAl-nanocone,candidate,composite,True,PGM,acidic,acidic,0.1 M HClO4,TiAl,TiAl,unclear,,three_electrode_half_cell,V vs. RHE,Potential,mA cm^-2_Pt,J,linear,linear,potential_x_current_y,rhe,True,True,V,mA,34,33,0.9355632906019172,39.52118176415655,7.484524479459739,210.0731570061902,-210.0731570061902,-2.4198086662914773,False,minus_E_RHE_negative_branch,34,0,34,-1.0,single_current_sign,33,1.0,minus_E_RHE_negative_branch,True,True,True,,121281.4844484947,True,,5.716996740435749,1.7434436221287504,0.1284791038634688,230.2709465531799,0.0,0.0,3573.5925590000693,10.406280969013988,0.9705347227958964,15.0,False,False,False,False,False,True,,3.022307760461947,1.1060206986592338,0.99,29.88384329186393,4.429010494664214,0.0,9.167664258731625,0.5270749546699712,0.9999244100259786,22.0,False,True,False,False,False,True,,8.45692835592987,2.134986029193889,0.1121306280725557,263.8441018969579,0.0,22.130856748029977,1677.427409949301,7.129595615098187,0.9861691385327522,19.0,False,False,False,False,False,True,,3.4462575190046105,1.2372888651466298,0.99,29.88384329186393,4.445682507692053,1.0386654104703836,8.236695960531323,0.4995966846255367,0.9999320861218184,21.0,False,True,False,False,False,False,True,PM,29.88384329186393,-15.019349846082683,4.445682507692053,1.0386654104703836,39.52118176415655,175.69862645222895
