"module","file","role","manuscript_or_si_use"
"01_bvir_eoffset_fitting","config_final.json","final analysis settings","Figure 5 methods and SI fitting controls"
"01_bvir_eoffset_fitting","run_strict_bv_ir_eoffset_fits.py","summarize final strict-BV+iR+Eoffset fitted descriptor rows","Figure 5 model counts and descriptor distributions"
"01_bvir_eoffset_fitting","run_ir_only_control.py","validate or summarize iR-only control table","SI control showing iR-only is insufficient"
"01_bvir_eoffset_fitting/outputs","figure5_fit_model_counts.csv","compact model-pass counts","Figure 5A and manuscript fitting-rate text"
"01_bvir_eoffset_fitting/outputs","figure5_selected_corrections_summary.csv","compact PM/non-PM correction descriptors","Figure 5 descriptor discussion"
"01_bvir_eoffset_fitting/outputs","figure5_descriptor_summary.csv","compact PM/non-PM fitted-descriptor summary","Figure 5 descriptor discussion"
"01_bvir_eoffset_fitting/outputs","figure5_descriptor_rows.csv","row-level rescued strict-BV+iR+Eoffset fitted descriptors","source table for regenerated Figure 5 summaries"
"01_bvir_eoffset_fitting/outputs","ir_only_control_summary.csv","compact iR-only and iR+Eoffset control counts","SI iR-only control"
"02_same_panel_ptc_relative","config_final.json","final analysis settings","Figure 6 methods and SI checks"
"02_same_panel_ptc_relative","run_ptc_relative_eta10_eta50.py","regenerate Figure 6 source summaries from included source rows","Figure 6 panel summaries"
"02_same_panel_ptc_relative","run_strict_bv_interval_decomposition.py","wrapper for the strict-BV/empirical-iR interval part of the Figure 6 analysis","Figure 6C/F interval-decomposition checks"
"02_same_panel_ptc_relative/outputs","panel_A_four_group_scatter_summary.csv","same-panel Pt/C eta10/eta50 group summary","Figure 6A"
"02_same_panel_ptc_relative/outputs","panel_B_four_group_posterior_summary.csv","Bayesian fitted-line posterior summary","Figure 6B"
"02_same_panel_ptc_relative/outputs","panel_C_four_group_interval_decomposition_summary.csv","strict-BV and empirical-iR interval contribution summary","Figure 6C"
"02_same_panel_ptc_relative/outputs","panel_D_four_group_descriptor_summary.csv","b_BV, intercept, and iR descriptor summary","Figure 6D"
"02_same_panel_ptc_relative/outputs","panel_E_alkaline_pm_branch_map_summary.csv","alkaline precious-metal branch-map summary","Figure 6E"
"02_same_panel_ptc_relative/outputs","panel_F_alkaline_pm_branch_descriptor_summary.csv","branch-level descriptor comparison","Figure 6F"
"02_same_panel_ptc_relative/outputs","panel_G_alkaline_pm_rule_enrichment_summary.csv","metadata-rule enrichment summary","Figure 6G"
"02_same_panel_ptc_relative/outputs","panel_G_alkaline_pm_rule_flags_by_row.csv","row-level metadata-rule flags","Figure 6G/SI metadata audit"
"02_same_panel_ptc_relative/outputs","main_text_figure6_A_to_G_20260619_panelF_bv_interval.png","regenerated Figure 6 PNG from the public analysis folder","visual audit copy; manuscript figure also retained under figures/"
"02_same_panel_ptc_relative/outputs","main_text_figure6_A_to_G_20260619_panelF_bv_interval_report.md","regenerated Figure 6 numerical report","Figure 6 count/posterior/branch audit"
"02_same_panel_ptc_relative/outputs","source_AB_current_same_panel_eta10_eta50_rows.csv","compact source rows for same-panel eta10/eta50 analysis","regenerates Figure 6A/B/E branch definitions"
"02_same_panel_ptc_relative/outputs","source_CD_current_strict_bvir_offset_rows.csv","compact source rows for strict-BV+iR+Eoffset interval decomposition","regenerates Figure 6C/D/F"
