case_rel_path,figure_id,panel_id,curve_label,paper_title,figure6_group,both_better_global,both_better_and_widens,enrich_reported_material_name,enrich_material_class,active_elements,precious_elements,support_material,substrate_material,delta_eta10_mV,delta_eta50_mV,gap_widening_eta50_minus_eta10_mV,bv_gap_mV,ir_gap_mV,delta_b_bv_mV_dec,delta_b_bv_interval_mV,hc_intercept_candidate_minus_ptc_mV,delta_R_mV_per_mA,delta_Eoffset_mV,condition_alkaline,pm_containing,alkaline_PM_interaction,motif_alloy_class,Pt_containing,Ir_containing,Ru_containing,Pd_containing,motif_carbon_support,motif_chalcogen,motif_selenide_telluride,motif_phosphide,motif_oxide_hydroxide,motif_single_atom,motif_array_or_foam_architecture,PM_plus_oxophilic_partner,Pt_plus_partner,Ru_plus_partner,Pt_alloy_or_multimetal,Ru_chalcogen,multi_metal,has_oxophilic_partner,element_Ni,element_Mo,element_Co,element_Fe,element_P,element_S,element_Se,element_Te,dataset,manual_elements,manual_pm_elements,manual_nonpm_metal_partners,manual_tm_oxophilic_partners,manual_main_group_partners,manual_pm_core,manual_partner_type,manual_identity_family,manual_is_alloy_or_metallic_glass,manual_is_single_atom_or_site_isolated,manual_has_carbon_support,manual_has_oxide_hydroxide_interface,manual_has_chalcogenide,manual_has_phosphide,manual_has_carbide_boride_nitride,manual_pm_count,manual_nonpm_metal_partner_count,audit_strict_subfamily,audit_confidence,audit_issue_flag,audit_note,audit_elements_compact,audit_pm_compact,analysis_dataset,eta10_good,eta50_good,transition_class_strict,fixed_neff2_cand_b_tafel_mV_dec,fixed_neff2_ptc_b_tafel_mV_dec,fixed_neff2_log10_b_tafel_ptc_over_candidate,fixed_neff2_hc_intercept_advantage_mV,strict_cand_b_bv_mV_dec,strict_ptc_b_bv_mV_dec,strict_delta_b_bv_mV_dec,strict_delta_b_bv_interval_mV,strict_log10_b_bv_ptc_over_candidate,strict_hc_intercept_candidate_minus_ptc_mV,both_better,alkaline_pm_branch
batch0/case18,figure_4,a,MC-1,Direct Writing of Oxygen-Doped Mo2C Enabled by Low-Temperature Laser Deposition for High-Performance Acidic Hydrogen Evolution Reaction,Acidic non-PM,False,False,MC-1 catalyst,carbide,"{'Mo', 'C', 'O'}",[],,carbon cloth,87.7033291192583,101.13780025284451,13.434471133586214,21.60837117898822,-10.982846116317102,14.76174659747624,10.318018083245178,93.69260360072344,-0.2745711529079275,-228.11922430088325,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,CD,"C,Mo,O",,Mo,Mo,"C,O",non-PM,no PM,non-PM oxide/hydroxide/nitride,False,False,True,True,False,False,True,0,1,non-PM oxide/hydroxide/nitride-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Mo,O",,CD,False,False,neither,51.74300267115785,36.981256073681614,-0.1458699694798004,-93.69260360072344,51.74300267115785,36.981256073681614,14.76174659747624,10.318018083245178,-0.1458699694798004,93.69260360072344,False,
batch0/case18,figure_4,a,MC-2,Direct Writing of Oxygen-Doped Mo2C Enabled by Low-Temperature Laser Deposition for High-Performance Acidic Hydrogen Evolution Reaction,Acidic non-PM,False,False,MC-2 catalyst,composite,"{'Mo', 'C', 'O'}",[],,carbon cloth,107.9308891698272,125.57274630599537,17.64185713616814,24.15507622493277,-8.703411142517908,26.9872850205523,18.863302727832817,94.07841006068683,-0.2175852785629476,98.5985706384273,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,CD,"C,Mo,O",,Mo,Mo,"C,O",non-PM,no PM,non-PM oxide/hydroxide/nitride,False,False,True,True,False,False,False,0,1,non-PM oxide/hydroxide/nitride-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Mo,O",,CD,False,False,neither,63.96854109423391,36.981256073681614,-0.2379847880960855,-94.07841006068683,63.96854109423391,36.981256073681614,26.9872850205523,18.863302727832817,-0.2379847880960855,94.07841006068683,False,
batch0/case18,figure_4,a,MC-3,Direct Writing of Oxygen-Doped Mo2C Enabled by Low-Temperature Laser Deposition for High-Performance Acidic Hydrogen Evolution Reaction,Acidic non-PM,False,False,MC-3 catalyst,carbide,"{'Mo', 'C'}",[],,carbon cloth,138.2722292456805,150.61037197573228,12.338142730051745,22.5992416820608,-11.830724908415196,16.735458942844197,11.697583809845074,141.70851827801758,-0.2957681227103799,98.65723431813636,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,CD,"C,Mo",,Mo,Mo,C,non-PM,no PM,non-PM other,False,False,True,False,False,False,True,0,1,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Mo",,CD,False,False,neither,53.71671501652581,36.981256073681614,-0.1621277880846235,-141.70851827801758,53.71671501652581,36.981256073681614,16.735458942844197,11.697583809845074,-0.1621277880846235,141.70851827801758,False,
batch0/case62,figure_3,a,M-CoSe1.28S0.72,Efficient acidic hydrogen evolution in proton exchange membrane electrolyzers over a sulfur-doped marcasite-type electrocatalyst,Acidic non-PM,False,False,M-CoSe1.28S0.72,other,"{'Co', 'S', 'Se'}",[],,glassy carbon,39.95057908919972,60.28975310826923,20.33917401906951,9.050820440764312,8.597959107059687,12.101608463134056,8.458661319949615,27.290122240672265,0.2149489776764922,-44.56697517531974,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,CD,"Co,S,Se",,Co,Co,"S,Se",non-PM,no PM,non-PM chalcogenide,False,False,True,False,True,False,False,0,1,non-PM chalcogenide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,S,Se",,CD,False,False,neither,49.08286453681567,36.981256073681614,-0.1229482428106948,-27.290122240672265,49.08286453681567,36.981256073681614,12.101608463134056,8.458661319949615,-0.1229482428106948,27.290122240672265,False,
batch1/case21,figure_3,a,CoSe2,Crystalline-Amorphous Interfaces Coupling of CoSe2/CoP with Optimized d-Band Center and Boosted Electrocatalytic Hydrogen Evolution,Acidic non-PM,False,False,CoSe2,other,"{'Co', 'Se'}",[],,,119.49697429927532,128.69645898040812,9.199484681132802,24.93980720404413,-9.402110252873271,35.55384469286067,24.851070979130967,84.75196097116383,-0.2350527563218317,-186.95735963714,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,CD,"Co,Se",,Co,Co,Se,non-PM,no PM,non-PM chalcogenide,False,False,False,False,True,False,False,0,1,non-PM chalcogenide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Se",,CD,False,False,neither,72.53510076654229,36.981256073681614,-0.2925665607636639,-84.75196097116383,72.53510076654229,36.981256073681614,35.55384469286067,24.851070979130967,-0.2925665607636639,84.75196097116383,False,
batch1/case21,figure_3,a,CoSe2/a-CoP,Crystalline-Amorphous Interfaces Coupling of CoSe2/CoP with Optimized d-Band Center and Boosted Electrocatalytic Hydrogen Evolution,Acidic non-PM,False,False,CoSe2/a-CoP,composite,"{'Co', 'Se', 'P'}",[],,,12.486753519302852,24.51781627983001,12.031062760527163,4.521875505166076,9.488304840363892,6.51238657799928,4.551962874661988,3.557756954870156,0.2372076210090973,10.939002368046634,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,CD,"Co,P,Se",,Co,Co,"P,Se",non-PM,no PM,non-PM phosphide,False,False,False,False,True,True,False,0,1,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,P,Se",,CD,False,False,neither,43.493642651680894,36.981256073681614,-0.0704441239934191,-3.557756954870156,43.493642651680894,36.981256073681614,6.51238657799928,4.551962874661988,-0.0704441239934191,3.557756954870156,False,
batch1/case28,figure_4,a,Interlayer-confined NiFe@MoS2 -67 mV,Interlayer-Confined NiFe Dual Atoms within MoS2 Electrocatalyst for Ultra-Efficient Acidic Overall Water Splitting,Acidic non-PM,False,False,Interlayer-confined NiFe@MoS2,composite,"{'Ni', 'Fe'}",[],MoS2,glassy carbon,30.58837420867008,14.913873101592834,-15.674501107077244,4.871825818644801,-27.252374388079296,0.0,0.0,48.74777666983281,-0.6813093597019824,25.067533585432248,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,CD,"Fe,Ni",,"Fe,Ni","Fe,Ni",,non-PM,no PM,non-PM chalcogenide,False,False,True,False,True,False,False,0,2,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Fe,Ni",,CD,False,False,neither,36.981256073681614,36.981256073681614,0.0,-48.74777666983281,36.981256073681614,36.981256073681614,0.0,0.0,0.0,48.74777666983281,False,
batch1/case28,figure_4,a,Planar NiFe@MoS2 -121 mV,Interlayer-Confined NiFe Dual Atoms within MoS2 Electrocatalyst for Ultra-Efficient Acidic Overall Water Splitting,Acidic non-PM,False,False,Planar NiFe@MoS2,composite,"{'Ni', 'Fe'}",[],MoS2,glassy carbon,84.90599813973118,94.32672475838712,9.420726618655934,24.141680671718746,-24.542218688132827,25.88714875788923,18.094340479549,78.61699995124062,-0.6135554672033208,47.20367355448438,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,CD,"Fe,Ni",,"Fe,Ni","Fe,Ni",,non-PM,no PM,non-PM chalcogenide,False,False,True,False,True,False,False,0,2,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Fe,Ni",,CD,False,False,neither,62.86840483157084,36.981256073681614,-0.2304507831299021,-78.61699995124062,62.86840483157084,36.981256073681614,25.88714875788923,18.094340479549,-0.2304507831299021,78.61699995124062,False,
batch1/case44,figure_5,a,NiP2-600 (c),Phase-Junction Electrocatalysts towards Enhanced Hydrogen Evolution Reaction in Alkaline Media,Acidic non-PM,False,False,NiP2-600 (c),phosphide,"{'Ni', 'P'}",[],,carbon cloth,128.55698595062665,127.81981051386164,-0.7371754367649999,22.01605748145515,-22.16084965013882,23.163093996975704,16.19030791150172,118.29213534459726,-0.5540212412534705,-202.01311631582584,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,CD,"Ni,P",,Ni,Ni,P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,1,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Ni,P",,CD,False,False,neither,60.14435007065732,36.981256073681614,-0.2112131782432924,-118.29213534459726,60.14435007065732,36.981256073681614,23.163093996975704,16.19030791150172,-0.2112131782432924,118.29213534459726,False,
batch1/case44,figure_5,a,NiP2-650 (c/m),Phase-Junction Electrocatalysts towards Enhanced Hydrogen Evolution Reaction in Alkaline Media,Acidic non-PM,False,False,NiP2-650 (c/m),phosphide,"{'Ni', 'P'}",[],,carbon cloth,132.72619381212192,136.24540524502615,3.5192114329042283,27.30063566182508,-22.16084965013882,30.724978463195093,21.47583832964356,114.2915914753907,-0.5540212412534705,-202.01347564723287,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,CD,"Ni,P",,Ni,Ni,P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,1,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Ni,P",,CD,False,False,neither,67.7062345368767,36.981256073681614,-0.2626470033557956,-114.2915914753907,67.7062345368767,36.981256073681614,30.724978463195093,21.47583832964356,-0.2626470033557956,114.2915914753907,False,
